"K: kommitment, ansonsten Kürzel der Person (AN,JM,RW)",,,,,,GV-Vorjahr,"30.000,00 €",,,K,BW,AN,RW,JM,,,,,,,,,
ER,K,"Christopher Blum HBSL, RN 138, 170426_rechnung_hanseatic_bank.pdf","3.599,75 €",2017-04,2.5.2017,bei Jochen,9.5.2017,"197.284,31 €",,,,,,,,,,,,,,,
AR,JM,"RN_20170502-01 - Rechnung, Berenberg","22.833,13 €",2017-04,2.5.2017,bei Jochen,9.5.2017,"220.117,44 €",,"16.730,63 €","0,00 €","0,00 €","0,00 €","1.497,50 €","0,00 €","0,00 €","0,00 €","959,38 €",,,,"768,75 €","18.418,75 €"
ER,RW,"Drillisch, WinSim","11,33 €",2017-05,,bei Jochen,10.05.2017,"220.106,11 €",,,,,,,,,,,,,,,
ER,K,"mindspace, Miete Mai","2.449,02 €",2017-05,,bei Jochen,10.05.2017,"217.657,09 €",,,,,,,,,,,,,,,
ER,K,"mindspace, Miete April ","2.449,02 €",2017-05,,bei Jochen,10.5.2017,"215.208,07 €",,,,,,,,,,,,,,,
ER,K,"S&S, Breuninger-Tickets Jax","2.897,95 €",2017-05,12.05.2017,bei Jochen,12.05.2017,"212.310,12 €",,,,,,,,,,,,,,,
ER,K,Sven Roepstorff für BB,"10.162,60 €",2017-05,,bei Jochen,12.05.2017,"202.147,52 €",,,,,,,,,,,,,,,
ER,K,Rundfunkbeitrag,"17,49 €",2017-05,,bei Jochen,15.05.2017,"202.130,03 €",,,,,,,,,,,,,,,
ER,AN,Telekom,"37,95 €",2017-05,12.05.2017,bei Jochen,15.05.2017,"202.092,08 €",,,,,,,,,,,,,,,
ER,K,rng170508.pdf Jutta Eckstein Berenberg,"17.796,45 €",2017-04,2.5.2017,bei Jochen,15.5.2017,"184.295,63 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST MRZ.17","7.791,24 €",2017-05,,bei Jochen,17.05.2017,"176.504,39 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 GEW.
ST 2VJ.17","5.160,00 €",2017-05,,bei Jochen,18.05.2017,"171.344,39 €",,,,,,,,,,,,,,,
AR,AN,Haftungseinlage AN,"500,00 €",2017-05,,bei Jochen,22.05.2017,"171.844,39 €",,"420,17 €","0,00 €",,,,"0,00 €","0,00 €","0,00 €","0,00 €",,,,,
AR,JM,Haftungseinlage JM,"500,00 €",2017-05,,bei Jochen,22.05.2017,"172.344,39 €",,"420,17 €","0,00 €",,,,"0,00 €","0,00 €","0,00 €","0,00 €",,,,,
ER,K,Mastercard 2017-05,"800,70 €",2017-05,,bei Jochen,22.05.2017,"171.543,69 €",,,,,,,,,,,,,,,
ER,JM,Congstar,"51,63 €",2017-05,,bei Jochen,23.05.2017,"171.492,06 €",,,,,,,,,,,,,,,
AR,JM,"picue, März, globe4go-032017","25.382,94 €",2017-03,03.04.2017,bei Jochen,24.05.2017,"196.875,00 €",,"4.320,20 €","0,00 €","0,00 €","10.631,25 €","5.315,63 €","0,00 €","0,00 €","0,00 €","1.063,13 €",,,"15.187,50 €","6.075,00 €",
ER,AN,Belegabrechnung AN 2017-05,"654,71 €",2017-05,25.05.2017,bei Jochen,25.05.2017,"196.220,29 €",,,,,,,,,,,,,,,
ER,??,"SEPA-Basislastschrift
AMAZON EU S.A R.L., NIEDERLASSUNG DEUTSCHLAND
306-9866201-3249101 Amazon.
de 2993351800506000","31,99 €",2017-05,,,26.05.2017,"196.188,30 €",,,,,,,,,,,,,,,
ER,K,"Kontoführung
Abrechnung vom 31.05.2017","17,66 €",2017-05,30.05.2017,bei Jochen,30.05.2017,"196.170,64 €",,,,,,,,,,,,,,,
AR,JM,"Hanseatic Bank 20170502, RN_20170508 - Rechnung","37.604,60 €",2017-04,02.05.2017,bei Jochen,30.05.2017,"233.775,24 €",,"10.990,50 €","0,00 €","9.922,50 €","0,00 €","9.399,38 €","0,00 €","0,00 €","0,00 €","1.288,13 €",,"14.175,00 €",,"11.587,50 €",
ER,K,"Dauer-Euro-Überweisung
hauptsache.net GmbH
Miete Büro kommitment
Dauerauftrag: 1","824,78 €",2017-06,,,01.06.2017,"232.950,46 €",,,,,,,,,,,,,,,
ER,K,"Internet-Euro-Überweisung
Ralf Wirdemann
BIC:INGDDEFFXXX
IBAN:DE82500105175401478930
Datum: 02.06.17 Zeit: 09:50
UFT 0020630894 TAN 975525
Belegabrechnung RW 052017","226,09 €",2017-05,2.6.2017,bei Jochen,2.6.2017,"232.724,37 €",,,,,,,,,,,,,,,
AR,K,Haftungseinlage RW,"500,00 €",2017-06,2.6.2017,bei Jochen,2.6.2017,"233.224,37 €",,"420,17 €","0,00 €",,,,"0,00 €","0,00 €","0,00 €","0,00 €",,,,,
AR,AN,moebel.de,"1.071,00 €",2017-05,25.05.2017,bei Jochen,2.6.2017,"234.295,37 €",,"180,00 €","0,00 €","675,00 €","0,00 €","0,00 €","0,00 €","45,00 €","0,00 €","0,00 €",,"900,00 €",,,
GV,RW,Kommanditistenentnahme 2017-06,"6.000,00 €",2017-06,2.6.2017,bei Jochen,2.6.2017,"228.295,37 €",,,,,,,,,,,,,,,
GV,JM,Kommanditistenentnahme 2017-06,"6.000,00 €",2017-06,2.6.2017,bei Jochen,2.6.2017,"222.295,37 €",,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2017-06,"6.000,00 €",2017-06,2.6.2017,bei Jochen,2.6.2017,"216.295,37 €",,,,,,,,,,,,,,,
ER,K,RKA-JM-20170517-Breuninger,"214,28 €",2017-05,3.6.2017,bei Jochen,6.6.2017,"216.081,09 €",,,,,,,,,,,,,,,
ER,K,RKA-JM-20170512-JAX,"263,30 €",2017-05,3.6.2017,bei Jochen,6.6.2017,"215.817,79 €",,,,,,,,,,,,,,,
ER,K,RKA-JM-20170504-bild,"358,15 €",2017-05,3.6.2017,bei Jochen,6.6.2017,"215.459,64 €",,,,,,,,,,,,,,,
ER,K,RKA-JM-20170504-Breuninger,"462,34 €",2017-05,3.6.2017,bei Jochen,6.6.2017,"214.997,30 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
YOLK DANKT MITE.YO.LK
SLV6496968712 04.06 03.29 Y
olk dankt mite.yo.lk 201706
-28399-314713","5,00 €",2017-05,,,7.6.2017,"214.992,30 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
vcomtec UG (haftungsbeschraenkt)
RgNr 2969 vom 19.05.2017 Vi
elen Dank, Wolkesicher","4,99 €",2017-05,,,12.6.2017,"214.987,31 €",,,,,,,,,,,,,,,
ER,K,"Thiemer & Ralf, 10745-013","190,40 €",2017-06,13.06.2017,bei Jochen,13.06.2017,"214.796,91 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
Mindspace Germany GmbH
RNR 201702055 Kto. 10516","2.449,02 €",2017-06,,,13.6.2017,"212.347,89 €",,,,,,,,,,,,,,,
ER,K,"bild.de, Christopher Blum","4.971,70 €",2017-05,01.06.2017,bei Jochen,13.6.2017,"207.376,19 €",,,,,,,,,,,,,,,
ER,K,"Elena shalman-Ploy, Rechnung Nr. berenberg_2017_001","8.901,20 €",2017-05,01.06.2017,bei Jochen,13.06.2017,"198.474,99 €",,,,,,,,,,,,,,,
ER,RW,"SEPA-Basislastschrift
Drillisch Online AG
C2103104 U191316294 B246774
077 WINSIM B2C.DE","16,99 €",2017-06,14.06.2017,bei Jochen,14.06.2017,"198.458,00 €",,,,,,,,,,,,,,,
AR,JM,"Prosoz, Herten","1.428,00 €",2017-05,01.06.2017,bei Jochen,14.06.2017,"199.886,00 €",,"240,00 €","0,00 €","0,00 €","0,00 €","900,00 €","0,00 €","0,00 €","0,00 €","60,00 €",,,,"1.200,00 €",
ER,K,BEGO- Sven Röpstorff,"13.328,00 €",2017-05,2.6.2017,bei Jochen,14.6.2017,"186.558,00 €",,,,,,,,,,,,,,,
AR,JM,"Berenberg, Elena, RN_20170601-01-Elena","11.126,50 €",2017-05,01.06.2017,bei Jochen,15.06.2017,"197.684,50 €",,"8.415,00 €","0,00 €","0,00 €","0,00 €","467,50 €","0,00 €","0,00 €","0,00 €","467,50 €",,,,,"9.350,00 €"
ER,K,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST APR.17 13.647,97EUR","13.647,97 €",2017-06,16.06.2017,bei Jochen,16.06.2017,"184.036,53 €",,,,,,,,,,,,,,,
AR,JM,BEGO- RN_20170602-02-Sven,"16.660,00 €",2017-05,2.6.2017,bei Jochen,16.06.2017,"200.696,53 €",,"12.600,00 €","0,00 €","0,00 €","0,00 €","700,00 €","0,00 €","0,00 €","0,00 €","700,00 €",,,,,"14.000,00 €"
ER,AN,"SEPA-Basislastschrift
Telekom Deutschland GmbH
MOBILFUNK KUNDENKONTO 00004
7280704 0020881912012641/05
.06.17","56,43 €",2017-06,19.06.2017,bei Jochen,19.06.2017,"200.640,10 €",,,,,,,,,,,,,,,
AR,JM,"BEGO, Susanne Bartel, RN_20170613-01-Susanne","7.965,56 €",2017-05,13.06.2017,bei Jochen,20.06.2017,"208.605,66 €",,"6.024,37 €","0,00 €","0,00 €","0,00 €","334,69 €","0,00 €","0,00 €","0,00 €","334,69 €",,,,,"6.693,75 €"
AR,JM,"HB, RN_20170604-01","29.090,15 €",2017-05,04.06.2017,bei Jochen,20.06.2017,"237.695,81 €",,"8.779,88 €","0,00 €","8.229,38 €","0,00 €","6.316,88 €","0,00 €","0,00 €","0,00 €","1.119,38 €",,"11.756,25 €",,"7.425,00 €","3.206,25 €"
ER,K,"BEGO, Jutta Eckstein, rng170610","20.081,25 €",2017-05,04.06.2017,bei Jochen,21.6.2017,"217.614,56 €",,,,,,,,,,,,,,,
ER,K,Abrechnung Kreditkarte,"120,41 €",2017-06,29.06.2017,bei Jochen,22.06.2017,"217.494,15 €",,,,,,,,,,,,,,,
ER,JM,Congstar,"52,27 €",2017-06,20.06.2017,bei Jochen,26.06.2017,"217.441,88 €",,,,,,,,,,,,,,,
ER,AN,Rückflug Breuninger-Termin 20170627,"159,99 €",2017-06,29.06.2017,bei Jochen,26.06.2017,"217.281,89 €",,,,,,,,,,,,,,,
ER,K,"Susanne Bartel, Re-2017-19","6.372,45 €",2017-05,13.06.2017,bei Jochen,27.06.2017,"210.909,44 €",,,,,,,,,,,,,,,
ER,AN,t3n Abo,"35,00 €",2017-05,29.06.2017,bei Jochen,29.06.2017,"210.874,44 €",,,,,,,,,,,,,,,
ER,AN,Belegabrechnung 2017-06 AN,"205,74 €",2017-06,29.06.2017,bei Jochen,29.06.2017,"210.668,70 €",,,,,,,,,,,,,,,
ER,K,"PairProgramming Cioach Arne Blankerts, 91425-kommitment-2017-06-19","3.612,84 €",2017-06,19.06.2017,bei Jochen,29.06.2017,"207.055,86 €",,,,,,,,,,,,,,,
ER,JM,1und1,"9,90 €",2017-06,30.06.2017,bei Jochen,30.06.2017,"207.045,96 €",,,,,,,,,,,,,,,
ER,K,"ZInsen/Kontoführung
","17,90 €",2017-06,,bei Jochen,30.06.2017,"207.028,06 €",,,,,,,,,,,,,,,
ER,RW,Belegabrechnung 2017-06 RW,"28,09 €",2017-06,30.06.2017,bei Jochen,30.06.2017,"206.999,97 €",,,,,,,,,,,,,,,
ER,K,"Ben Wiedenmann, HBSL Juni","3.000,00 €",2017-06,30.06.2017,bei Jochen,30.06.2017,"203.999,97 €",,,,,,,,,,,,,,,
AR,JM,"Breuninger, RN_20170502-03","12.867,86 €",2017-04,02.05.2017,bei Jochen,30.06.2017,"216.867,83 €",,"2.162,66 €","0,00 €","2.591,39 €","0,00 €","5.518,61 €","0,00 €","0,00 €","0,00 €","540,67 €",,"3.701,98 €",,"7.111,35 €",
ER,K,"hauptsache.net, Miete","824,78 €",2017-07,5.7.2017,bei Jochen,03.07.2017,"216.043,05 €",,,,,,,,,,,,,,,
AR,JM,Thalia,"414,58 €",2017-03,31.03.2017,bei Jochen,04.07.2017,"216.457,63 €",,"314,79 €","0,00 €","0,00 €","0,00 €","31,50 €","0,00 €","0,00 €","0,00 €","2,10 €",,,,"42,00 €",
GV,JM,Kommanditistenentnahme 2017-07,"6.000,00 €",2017-07,4.7.2017,bei Jochen,4.7.2017,"210.457,63 €",,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2017-07,"6.000,00 €",2017-07,4.7.2017,bei Jochen,4.7.2017,"204.457,63 €",,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2017-07,"6.000,00 €",2017-07,4.7.2017,bei Jochen,4.7.2017,"198.457,63 €",,,,,,,,,,,,,,,
AR,JM,bild.de RN_20170603-02,"20.027,94 €",2017-05,03.06.2017,bei Jochen,04.07.2017,"218.485,57 €",,"7.370,20 €","0,00 €","0,00 €","4.830,00 €","3.820,00 €","0,00 €","0,00 €","0,00 €","810,00 €",,,"6.900,00 €","4.300,00 €","5.000,00 €"
ER,K,mindspace Miete,"3.498,60 €",2017-07,,bei Jochen,05.07.2017,"214.986,97 €",,,,,,,,,,,,,,,
AR,RW,"picue, RN_20170604-02","16.823,63 €",2017-05,04.06.2017,bei Jochen,05.07.2017,"231.810,60 €",,"2.827,50 €","0,00 €","0,00 €","7.400,63 €","3.202,50 €","0,00 €","0,00 €","706,88 €","0,00 €",,,"9.562,50 €","4.575,00 €",
AR,RW,RN_20170405-picue,"24.409,88 €",2017-04,04.05.2017,bei Jochen,05.07.2017,"256.220,48 €",,"4.102,78 €","0,00 €","0,00 €","10.475,61 €","4.908,51 €","0,00 €","0,00 €","1.025,61 €","0,00 €",,,"13.500,00 €","7.012,15 €",
ER,K,"SEPA-Basislastschrift
vcomtec UG (haftungsbeschraenkt)
RgNr 3006 vom 18.06.2017 Vi
elen Dank, Wolkesicher","4,99 €",2017-06,6.7.2017,bei Jochen,06.07.2017,"256.215,49 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
YOLK DANKT MITE.YO.LK
SLV6572507563 04.07 03.28 Y
olk dankt mite.yo.lk 201707
-28399-319089","5,00 €",2017-06,6.7.2017,bei Jochen,06.07.2017,"256.210,49 €",,,,,,,,,,,,,,,
AR,JM,"CEWE Austausch, RN_20170602-01","2.975,00 €",2017-05,02.06.2017,bei Jochen,06.07.2017,"259.185,49 €",,"500,00 €","0,00 €","0,00 €","0,00 €","1.875,00 €","0,00 €","0,00 €","0,00 €","125,00 €",,,,"2.500,00 €",
AR,K,"RN_20170704, Globe4Go","11.781,00 €",2017-06,3.7.2017,bei Jochen,06.07.2017,"270.966,49 €",,"2.970,00 €","0,00 €","0,00 €","6.930,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €",,,"9.900,00 €",,
ER,RW,"Drillisch, WinSim","16,99 €",2017-07,,bei Jochen,10.7.2017,"270.949,50 €",,,,,,,,,,,,,,,
ER,K,"Thiemer & Ralf, Thiemer & Ralf, 10745-014","190,40 €",2017-07,11.7.2017,bei Jochen,11.7.2017,"270.759,10 €",,,,,,,,,,,,,,,
AR,AN,moebel.de,"1.071,00 €",2017-06,29.06.2017,bei Jochen,11.7.2017,"271.830,10 €",,"855,00 €","0,00 €",,,,"0,00 €","45,00 €","0,00 €","0,00 €",,"900,00 €",,,
ER,K,"Thiemer & Ralf, 10745-012","1.228,91 €",2017-07,11.7.2017,bei Jochen,11.7.2017,"270.601,19 €",,,,,,,,,,,,,,,
ER,K,"Thiemer & Ralf, 10745-011","2.218,28 €",2017-07,11.7.2017,bei Jochen,11.7.2017,"268.382,91 €",,,,,,,,,,,,,,,
AR,JM,"Berenberg, Jutta Eckstein, RN_20170706-01-Jutta","9.237,38 €",2017-06,6.7.2017,bei Jochen,11.7.2017,"277.620,29 €",,"6.986,25 €","0,00 €","0,00 €","0,00 €","388,13 €","0,00 €","0,00 €","0,00 €","388,13 €",,,,,"7.762,50 €"
AR,JM,"Berenberg, Sven Röpstorff, RN_20170706-03-Sven.pdf","11.505,81 €",2017-06,6.7.2017,bei Jochen,11.7.2017,"289.126,10 €",,"8.701,87 €","0,00 €","0,00 €","0,00 €","483,44 €","0,00 €","0,00 €","0,00 €","483,44 €",,,,,"9.668,75 €"
AR,JM,"Berenberg_2017_002, Elena Shalman-Ploj","15.708,00 €",2017-06,6.7.2017,bei Jochen,11.7.2017,"304.834,10 €",,"11.880,00 €","0,00 €","0,00 €","0,00 €","660,00 €","0,00 €","0,00 €","0,00 €","660,00 €",,,,,"13.200,00 €"
ER,K,"Berenberg_2017_002, Elena Shalman-Ploj","12.566,40 €",2017-06,6.7.2017,bei Jochen,13.07.2017,"292.267,70 €",,,,,,,,,,,,,,,
AR,JM,Thalia,"414,58 €",2017-03,31.03.2017,bei Jochen,14.07.2017,"292.682,28 €",,"314,79 €","0,00 €","0,00 €","0,00 €","31,50 €","0,00 €","0,00 €","0,00 €","2,10 €",,,,"42,00 €",
ER,K,"Berenberg, Sven R., 2017.07.01 Kommitment - Invoice 5666010","9.204,65 €",2017-06,6.7.2017,bei Jochen,14.07.2017,"283.477,63 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
STEUERKASSE HAMBURG
STEUERNR 048/638/01147 UMS.
ST MAI 17 9.377,13EUR","9.377,13 €",2017-07,,bei Jochen,14.7.2017,"274.100,50 €",,,,,,,,,,,,,,,
ER,AN,Telekom,"67,04 €",2017-07,7.7.2017,bei Jochen,17.7.2017,"274.033,46 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
Handelskammer Hamburg
16.06.2017 135.00 61103842","135,00 €",2017-07,,bei Jochen,17.7.2017,"273.898,46 €",,,,,,,,,,,,,,,
ER,K,"Berenberg, Jutta Eckstein, rng170713","7.693,35 €",2017-06,6.7.2017,bei Jochen,17.7.2017,"266.205,11 €",,,,,,,,,,,,,,,
ER,K,"2017.06.07-bild.de, RKA Johannes","232,70 €",2017-06,5.7.2017,bei Jochen,21.7.2017,"265.972,41 €",,,,,,,,,,,,,,,
ER,K,RKA-JM-Belege-Breuninger-2017-06.pdf,"530,09 €",2017-07,6.7.2017,bei Jochen,21.7.2017,"265.442,32 €",,,,,,,,,,,,,,,
ER,K,"Belege-2017-05-JM.pdf, RKA Johannes","1.539,63 €",2017-06,5.7.2017,bei Jochen,21.7.2017,"263.902,69 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
GLS Gemeinschaftsbank eG
MASTERCARD Abrechnung DR. J
OHANNES MAINUSCH","2.522,32 €",2017-07,21.7.2017,bei Jochen,21.7.2017,"261.380,37 €",,,,,,,,,,,,,,,
AR,JM,"Breuninger, RN_20170603-01","20.011,10 €",2017-05,03.06.2017,bei Jochen,21.07.2017,"281.391,47 €",,"6.036,05 €","0,00 €","4.165,00 €","0,00 €","5.941,25 €","0,00 €","0,00 €","0,00 €","673,75 €",,"5.950,00 €",,"7.525,00 €",
ER,K,"SEPA-Basislastschrift
Hetzner Online GmbH
Rechnungsnr.: R0007137384 -
Kundennr.: K0720512117","8,21 €",2017-07,24.7.2017,bei Jochen,24.7.2017,"281.383,26 €",,,,,,,,,,,,,,,
ER,K,"SEPA-Basislastschrift
GLS Gemeinschaftsbank eG
GLS Beitrag 2017, weitere I
nfos unter www.gls.de/beitr
ag KDNR: 20630958","60,00 €",2017-07,24.7.2017,bei Jochen,24.7.2017,"281.323,26 €",,,,,,,,,,,,,,,
ER,JM,"SEPA-Basislastschrift
congstar GmbH
Kundennummer 2203095056/RG
7204675310 vom 17.07.17","79,91 €",2017-07,24.7.2017,bei Jochen,24.7.2017,"281.243,35 €",,,,,,,,,,,,,,,
ER,K,RKA_JM_20170720-Prosoz,"306,30 €",2017-07,24.7.2017,bei Jochen,24.7.2017,"280.937,05 €",,,,,,,,,,,,,,,
ER,JM,1u1 Telecom GmbH,"9,90 €",2017-07,25.7.2017,bei Jochen,25.7.2017,"280.927,15 €",,,,,,,,,,,,,,,
ER,BW,Gehalt Ben 2017-07,"3.869,65 €",2017-07,21.7.2017,bei Jochen,26.7.2017,"277.057,50 €",,,,,,,,,,,,,,,
ER,K,Kontoführung,"18,37 €",2017-07,31.7.2017,bei Jochen,31.7.2017,"277.039,13 €",,,,,,,,,,,,,,,
ER,K,Belegabrechung 2017-07 AN,"393,40 €",2017-07,31.7.2017,bei Jochen,31.7.2017,"276.645,73 €",,,,,,,,,,,,,,,
AR,JM,"BEGO, Susanne Bartel, Juni 2017","11.505,81 €",2017-07,21.7.2017,bei Jochen,31.7.2017,"288.151,54 €",,"8.895,25 €","0,00 €","0,00 €","0,00 €","386,75 €","0,00 €","0,00 €","0,00 €","386,75 €",,,,,"7.735,00 €"
ER,K,hauptsache.net GmbH,"824,78 €",2017-08,1.8.2017,bei Jochen,1.8.2017,"287.326,76 €",,,,,,,,,,,,,,,
AR,JM,"Bild.de, RN_20170706-05","1.666,64 €",2017-06,6.7.2017,bei Jochen,02.08.2017,"288.993,40 €",,"440,54 €","0,00 €","0,00 €","0,00 €","900,00 €","0,00 €","0,00 €","0,00 €","60,00 €",,,,"1.200,00 €",
ER,K,"Sitegeist, EOS Moderation Gina Steiner","3.808,00 €",2017-07,28.7.2017,bei Jochen,02.08.2017,"285.185,40 €",,,,,,,,,,,,,,,
ER,K,20170712-Breuninger-RKA-JM.pdf,"468,10 €",2017-08,2.8.2017,bei Jochen,3.8.2017,"284.717,30 €",,,,,,,,,,,,,,,
GV,RW,Kommanditistenentnahme 2017-08,"6.000,00 €",2017-08,3.8.2017,bei Jochen,3.8.2017,"278.717,30 €",,,,,,,,,,,,,,,
GV,JM,Kommanditistenentnahme 2017-08,"6.000,00 €",2017-08,3.8.2017,bei Jochen,3.8.2017,"272.717,30 €",,,,,,,,,,,,,,,
GV,AN,Kommanditistenentnahme 2017-08,"6.000,00 €",2017-08,3.8.2017,bei Jochen,3.8.2017,"266.717,30 €",,,,,,,,,,,,,,,
AR,JM,"BEGO, Jutta Eckstein","24.097,50 €",2017-05,04.06.2017,bei Jochen,3.8.2017,"290.814,80 €",,"18.225,00 €","0,00 €","0,00 €","0,00 €","1.012,50 €","0,00 €","0,00 €","0,00 €","1.012,50 €",,,,,"20.250,00 €"
ER,K,"Anwalt, Arbeitsvertrag","1.237,60 €",2017-07,28.7.2017,bei Jochen,4.8.2017,"289.577,20 €",,,,,,,,,,,,,,,
ER,BW,"KKH, Ben","1.385,10 €",2017-07,,bei Jochen,4.8.2017,"288.192,10 €",,,,,,,,,,,,,,,
ER,RW,"13,99 mit 6000€ Fehlbuchung","6.000,00 €",2017-08,4.8.2017,bei Jochen,4.8.2017,"282.192,10 €",,,,,,,,,,,,,,,
ER,K,mindspace,"3.498,60 €",2017-08,7.8.2017,bei Jochen,7.8.2017,"278.693,50 €",,,,,,,,,,,,,,,
AR,JM,Hanseatic Bank RN_20170704-04,"32.348,07 €",2017-06,6.7.2017,bei Jochen,7.8.2017,"311.041,57 €",,"15.505,75 €","0,00 €","1.732,50 €","0,00 €","8.732,81 €","0,00 €","0,00 €","0,00 €","1.212,19 €",,"2.475,00 €",,"10.743,75 €","11.025,00 €"
ER,RW,"13,99 mit 6000€ Fehlbuchung - Rücküberweisung","-5.986,01 €",2017-08,8.8.2017,bei Jochen,8.8.2017,"317.027,58 €",,,,,,,,,,,,,,,
ER,K,mite,"20,00 €",2017-08,4.8.2017,bei Jochen,8.8.2017,"317.007,58 €",,,,,,,,,,,,,,,
AR,RW,Globe4Go,"10.174,50 €",2017-07,2.8.2017,bei Jochen,8.8.2017,"327.182,08 €",,"1.710,00 €","0,00 €","0,00 €","6.412,50 €","0,00 €","0,00 €","0,00 €","427,50 €","0,00 €",,,"8.550,00 €",,
AR,JM,BB Elena,"11.781,00 €",2017-07,3.8.2017,bei Jochen,8.8.2017,"338.963,08 €",,"8.871,84 €","0,00 €","0,00 €","0,00 €","514,08 €","0,00 €","0,00 €","0,00 €","514,08 €",,,,,"10.281,60 €"
AR,JM,BB Sven,"15.217,24 €",2017-07,3.8.2017,bei Jochen,8.8.2017,"354.180,32 €",,"11.564,71 €","0,00 €","0,00 €","0,00 €","611,44 €","0,00 €","0,00 €","0,00 €","611,44 €",,,,,"12.228,86 €"
AR,JM,BB Jutta,"20.415,94 €",2017-07,3.8.2017,bei Jochen,8.8.2017,"374.596,26 €",,"15.455,15 €","0,00 €","0,00 €","0,00 €","850,55 €","0,00 €","0,00 €","0,00 €","850,55 €",,,,,"17.011,05 €"
ER,RW,Belegabrechnung Reisekosten BB,"199,68 €",2017-08,8.8.2017,bei Jochen,9.8.2017,"374.396,58 €",,,,,,,,,,,,,,,
ER,AN,Wolkesicher,"4,99 €",2017-08,7.8.2017,bei Jochen,10.8.2017,"374.391,59 €",,,,,,,,,,,,,,,
ER,RW,Winsim,"16,99 €",2017-08,,bei Jochen,10.8.2017,"374.374,60 €",,,,,,,,,,,,,,,
AR,AN,Bäckerei Günther,"2.856,00 €",2017-07,2.8.2017,bei Jochen,10.8.2017,"377.230,60 €",,"480,00 €","0,00 €","1.240,00 €","0,00 €","560,00 €","0,00 €","120,00 €","0,00 €","0,00 €",,"1.600,00 €",,"800,00 €",
AR,JM,Prosoz,"5.175,10 €",2017-07,2.8.2017,bei Jochen,10.8.2017,"382.405,70 €",,"1.148,82 €","0,00 €","1.400,00 €","0,00 €","1.600,00 €","0,00 €","0,00 €","0,00 €","200,00 €",,"2.000,00 €",,"2.000,00 €",
AR,K,Wer-liefert-was,"6.753,25 €",2017-07,2.8.2017,bei Jochen,11.8.2017,"389.158,95 €",,"1.387,50 €","4.287,50 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","0,00 €","6.125,00 €",,,,
ER,K,"Elena Shalman-Ploj, BB","10.281,60 €",2017-07,2.8.2017,bei Jochen,11.8.2017,"378.877,35 €",,,,,,,,,,,,,,,
AR,JM,"Breuninger, RN_20170710-01.pdf","11.508,93 €",2017-07,10.7.2015,bei Jochen,11.8.2017,"390.386,28 €",,"2.496,37 €","0,00 €","1.592,50 €","0,00 €","5.134,06 €","0,00 €","0,00 €","0,00 €","448,44 €",,"2.275,00 €",,"6.693,75 €",
ER,K,"Sven Roepstorff, BB","12.228,86 €",2017-07,2.8.2017,bei Jochen,13.8.2017,"378.157,42 €",,,,,,,,,,,,,,,
ER,RW,Belegabrechnung RW 08 2017 02,"712,62 €",2017-08,14.8.2017,bei Jochen,14.8.2017,"377.444,80 €",,,,,,,,,,,,,,,
AR,JM,BB JM + RW,"11.873,97 €",2017-07,8.8.2017,bei Jochen,14.8.2017,"389.318,77 €",,"1.995,62 €","0,00 €","0,00 €","796,25 €","6.687,35 €","0,00 €","0,00 €","0,00 €","498,91 €",,,"1.137,50 €","8.840,63 €",
ER,K,"Jutta Eckstein, BB","17.011,05 €",2017-07,2.8.2017,bei Jochen,14.8.2017,"372.307,72 €",,,,,,,,,,,,,,,
ER,RW,"Samsung Galax S8 Cover
AMAZON PAYMENTS EUROPE S.C.A.
303-7857911-3217951 Amazon
.Mktplce EU-DE 162598024107
7852","11,98 €",2017-08,14.8.2017,bei Jochen,15.8.2017,"372.295,74 €",,,,,,,,,,,,,,,
ER,K,"Rundfunk ARD, ZDF, DRadio
Rundfunk 07.2017 - 09.2017
Beitragsnr. 644272921 Aende
rungen ganz bequem: www.run
dfunkbeitrag.de","17,49 €",2017-08,,bei Jochen,15.8.2017,"372.278,25 €",,,,,,,,,,,,,,,
ER,AN,Telekom,"50,90 €",2017-08,7.8.2017,bei Jochen,15.8.2017,"372.227,35 €",,,,,,,,,,,,,,,
ER,K,"Thiemer & Ralf, Re. Nr. 10745-015","190,40 €",2017-08,16.8.2017,bei Jochen,16.8.2017,"372.036,95 €",,,,,,,,,,,,,,,
